行	candidate_id	geom	centroid_geom	area_km2	area_m2	perimeter_km	compactness	shape_index	neighbor_count_500m	neighbor_count_1000m	neighbor_count_1500m	nearest_neighbor_m	geology_lithology_count	dominant_lithology_ja	dominant_lithology_en	dominant_lithology_area_km2	total_geology_overlap_area_km2	dominant_lithology_share	method	ndvi_threshold_max	slope_threshold_min_deg	confidence
1	891d7fce587a3247498e2eabdb82ad76	MULTIPOLYGON(((131.492905596398 32.7714685917197, 131.493175090983 32.7714685917197, 131.493175090983 32.771738086305, 131.492905596398 32.771738086305, 131.492905596398 32.7714685917197)), ((131.493714080154 32.771738086305, 131.493714080154 32.7720075808902, 131.493175090983 32.7720075808902, 131.493175090983 32.771738086305, 131.493714080154 32.771738086305)), ((131.493714080154 32.7720075808902, 131.49506155308 32.7720075808902, 131.49506155308 32.7714685917197, 131.495331047665 32.7714685917197, 131.495331047665 32.7720075808902, 131.49560054225 32.7720075808902, 131.49560054225 32.7722770754755, 131.494792058495 32.7722770754755, 131.494792058495 32.7725465700607, 131.493983574739 32.7725465700607, 131.493983574739 32.7728160646459, 131.493714080154 32.7728160646459, 131.493714080154 32.7725465700607, 131.493444585568 32.7725465700607, 131.493444585568 32.7722770754755, 131.493714080154 32.7722770754755, 131.493714080154 32.7720075808902)))	POINT(131.494297985259 32.7721423292852)	0.013590997950308735	13590.997950308734	0.97385853708055292	0.18008180864912532	2.3564871619218493	6	22	40	172.08160909670838	3	チャート 後期ジュラ紀-前期白亜紀付加体	chert Late Jurassic to Early Cretaceous accretionary complex	0.00902330362966781	0.013591009978030011	0.663917077851761	slope_ndvi_threshold_v1	0.55	20	screening
2	896a502c8c48779f507f0de74d304c92	POLYGON((131.496948015175 32.7674261729415, 131.49721750976 32.7674261729415, 131.49721750976 32.7682346566972, 131.496948015175 32.7682346566972, 131.496948015175 32.7687736458676, 131.496409026004 32.7687736458676, 131.496409026004 32.7682346566972, 131.49667852059 32.7682346566972, 131.49667852059 32.7676956675267, 131.496948015175 32.7676956675267, 131.496948015175 32.7674261729415))	POINT(131.496843212549 32.768159795936)	0.0067958086960961976	6795.8086960961973	0.45085175060457139	0.42013017265926411	1.5427944352212624	7	23	35	129.09236790493759	2	チャート 後期ジュラ紀-前期白亜紀付加体	chert Late Jurassic to Early Cretaceous accretionary complex	0.0059524822374897538	0.0067958147102053067	0.875904139727483	slope_ndvi_threshold_v1	0.55	20	screening
3	8cbe3f3dd9f8123d29ad7b8cffd436b9	MULTIPOLYGON(((131.431999820135 32.828870938375, 131.431999820135 32.8286014437898, 131.432538809305 32.8286014437898, 131.432538809305 32.8283319492045, 131.43280830389 32.8283319492045, 131.43280830389 32.8286014437898, 131.433347293061 32.8286014437898, 131.433347293061 32.828870938375, 131.433616787646 32.828870938375, 131.433616787646 32.8291404329602, 131.432538809305 32.8291404329602, 131.432538809305 32.828870938375, 131.431999820135 32.828870938375)), ((131.431999820135 32.828870938375, 131.431999820135 32.8291404329602, 131.43226931472 32.8291404329602, 131.43226931472 32.8294099275455, 131.431999820135 32.8294099275455, 131.431999820135 32.8299489167159, 131.430921841794 32.8299489167159, 131.430921841794 32.8294099275455, 131.431460830964 32.8294099275455, 131.431460830964 32.8291404329602, 131.431730325549 32.8291404329602, 131.431730325549 32.828870938375, 131.431999820135 32.828870938375)))	POINT(131.432159072228 32.829201682448)	0.016600588232909181	16600.58823290918	0.97350302954596335	0.22011980067599968	2.1314269098470571	12	26	36	132.67117568281449	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.016600602923186998	0.016600602923186998	1.0	slope_ndvi_threshold_v1	0.55	20	screening
4	0a6eabaa1f75a1f7f9f45b9e1f67caf4	POLYGON((131.435233755156 32.8261759925229, 131.435772744326 32.8261759925229, 131.435772744326 32.8267149816933, 131.436042238912 32.8267149816933, 131.436042238912 32.8275234654491, 131.435772744326 32.8275234654491, 131.435772744326 32.8269844762786, 131.434964260571 32.8269844762786, 131.434964260571 32.8267149816933, 131.435233755156 32.8267149816933, 131.435233755156 32.8261759925229))	POINT(131.435584097075 32.8267688796492)	0.007545924439385213	7545.9244393852132	0.50111461356328724	0.37761441507037696	1.6273303254789271	9	30	44	185.57258683529676	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.0075459311173186336	0.0075459311173186336	1.0	slope_ndvi_threshold_v1	0.55	20	screening
5	c18151fb3b7ed814409164099b75a5c8	MULTIPOLYGON(((131.435772744328 32.8280624546193, 131.435772744328 32.827792960034, 131.436042238913 32.827792960034, 131.436042238913 32.8280624546193, 131.435772744328 32.8280624546193)), ((131.435772744328 32.8283319492045, 131.436042238913 32.8283319492045, 131.436042238913 32.8280624546193, 131.436311733498 32.8280624546193, 131.436311733498 32.828870938375, 131.436042238913 32.828870938375, 131.436042238913 32.8286014437898, 131.435233755157 32.8286014437898, 131.435233755157 32.8294099275455, 131.434964260572 32.8294099275455, 131.434964260572 32.8291404329602, 131.434694765987 32.8291404329602, 131.434694765987 32.828870938375, 131.434155776816 32.828870938375, 131.434155776816 32.8286014437898, 131.434964260572 32.8286014437898, 131.434964260572 32.8280624546193, 131.435772744328 32.8280624546193, 131.435772744328 32.8283319492045)), ((131.436311733498 32.8280624546193, 131.436311733498 32.8272539708636, 131.437659206425 32.8272539708636, 131.437659206425 32.8275234654488, 131.439006679351 32.8275234654488, 131.439006679351 32.827792960034, 131.43846769018 32.827792960034, 131.43846769018 32.8280624546193, 131.438198195595 32.8280624546193, 131.438198195595 32.8283319492045, 131.43846769018 32.8283319492045, 131.43846769018 32.8286014437898, 131.437659206425 32.8286014437898, 131.437659206425 32.828870938375, 131.437389711839 32.828870938375, 131.437389711839 32.8286014437898, 131.437120217254 32.8286014437898, 131.437120217254 32.8283319492045, 131.437659206425 32.8283319492045, 131.437659206425 32.8280624546193, 131.437389711839 32.8280624546193, 131.437389711839 32.827792960034, 131.437120217254 32.827792960034, 131.437120217254 32.8275234654488, 131.436850722669 32.8275234654488, 131.436850722669 32.8280624546193, 131.436311733498 32.8280624546193)))	POINT(131.436698406854 32.8281503374055)	0.034710670664626062	34710.670664626065	2.0668843486036459	0.10210356351590849	3.1295331062836182	9	29	43	185.57258683529676	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.0347107013414638	0.0347107013414638	1.0	slope_ndvi_threshold_v1	0.55	20	screening
6	26e80fa8fb4daeab97e48f9f6786e3e6	MULTIPOLYGON(((131.435772744328 32.8207861008179, 131.436042238913 32.8207861008179, 131.436042238913 32.8210555954031, 131.435772744328 32.8210555954031, 131.435772744328 32.8207861008179)), ((131.435503249743 32.8207861008179, 131.435503249743 32.8205166062327, 131.435772744328 32.8205166062327, 131.435772744328 32.8207861008179, 131.435503249743 32.8207861008179)), ((131.435233755157 32.8213250899884, 131.435503249743 32.8213250899884, 131.435503249743 32.8215945845736, 131.435772744328 32.8215945845736, 131.435772744328 32.8213250899884, 131.436042238913 32.8213250899884, 131.436042238913 32.8218640791588, 131.435233755157 32.8218640791588, 131.435233755157 32.8213250899884)), ((131.435503249743 32.8210555954031, 131.435233755157 32.8210555954031, 131.435233755157 32.8213250899884, 131.434964260572 32.8213250899884, 131.434964260572 32.8205166062327, 131.435233755157 32.8205166062327, 131.435233755157 32.8207861008179, 131.435503249743 32.8207861008179, 131.435503249743 32.8210555954031)))	POINT(131.435490999225 32.8212148413361)	0.0083010364847593242	8301.0364847593246	0.83202305228731055	0.15068563504538779	2.5761080434913377	5	22	46	117.04209340596215	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.0083010438308837968	0.0083010438308837968	1.0	slope_ndvi_threshold_v1	0.55	20	screening
7	230146611d0156f327e721769083da74	MULTIPOLYGON(((131.440084657692 32.8226725629146, 131.440084657692 32.8229420574998, 131.439276173936 32.8229420574998, 131.439276173936 32.8226725629146, 131.440084657692 32.8226725629146)), ((131.438737184765 32.8226725629146, 131.438737184765 32.8224030683293, 131.43846769018 32.8224030683293, 131.43846769018 32.8218640791588, 131.439006679351 32.8218640791588, 131.439006679351 32.8221335737441, 131.439276173936 32.8221335737441, 131.439276173936 32.8226725629146, 131.438737184765 32.8226725629146)), ((131.438737184765 32.8229420574998, 131.439276173936 32.8229420574998, 131.439276173936 32.823211552085, 131.439006679351 32.823211552085, 131.439006679351 32.8234810466703, 131.43846769018 32.8234810466703, 131.43846769018 32.8240200358407, 131.437659206425 32.8240200358407, 131.437659206425 32.8234810466703, 131.438198195595 32.8234810466703, 131.438198195595 32.823211552085, 131.43846769018 32.823211552085, 131.43846769018 32.8229420574998, 131.437659206425 32.8229420574998, 131.437659206425 32.823211552085, 131.437120217254 32.823211552085, 131.437120217254 32.8226725629146, 131.437659206425 32.8226725629146, 131.437659206425 32.8224030683293, 131.438198195595 32.8224030683293, 131.438198195595 32.8226725629146, 131.438737184765 32.8226725629146, 131.438737184765 32.8229420574998)))	POINT(131.438442427356 32.8229420565009)	0.024147994872157002	24147.994872157004	1.5154614862590039	0.13213002459432988	2.7510548039511087	10	24	47	183.70127049559562	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.024148016241891543	0.024148016241891543	1.0	slope_ndvi_threshold_v1	0.55	20	screening
8	74ddcbb4e4d61306284a92ff23a76997	MULTIPOLYGON(((131.441432130618 32.8302184113012, 131.441701625203 32.8302184113012, 131.441701625203 32.8307574004716, 131.441432130618 32.8307574004716, 131.441432130618 32.8302184113012)), ((131.441432130618 32.8302184113012, 131.440354152277 32.8302184113012, 131.440354152277 32.8299489167159, 131.440084657692 32.8299489167159, 131.440084657692 32.8296794221307, 131.439815163106 32.8296794221307, 131.439815163106 32.828870938375, 131.440354152277 32.828870938375, 131.440354152277 32.8294099275455, 131.440623646862 32.8294099275455, 131.440623646862 32.8296794221307, 131.441162636033 32.8296794221307, 131.441162636033 32.8299489167159, 131.441432130618 32.8299489167159, 131.441432130618 32.8302184113012)))	POINT(131.440599863918 32.829750758088)	0.012827643181004504	12827.643181004505	0.77205571415599139	0.27043309344664512	1.9229592540634282	3	27	43	191.80189260667146	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.012827654533215183	0.012827654533215183	1.0	slope_ndvi_threshold_v1	0.55	20	screening
9	fc1de5f60e9cc338b9aa4eefdd9f1570	MULTIPOLYGON(((131.435772744328 32.8240200358407, 131.436042238913 32.8240200358407, 131.436042238913 32.824289530426, 131.435772744328 32.824289530426, 131.435772744328 32.8240200358407)), ((131.435772744328 32.8245590250112, 131.435503249743 32.8245590250112, 131.435503249743 32.824289530426, 131.435772744328 32.824289530426, 131.435772744328 32.8245590250112)), ((131.435772744328 32.8245590250112, 131.436042238913 32.8245590250112, 131.436042238913 32.8250980141817, 131.436850722669 32.8250980141817, 131.436850722669 32.8256370033522, 131.436581228084 32.8256370033522, 131.436581228084 32.8253675087669, 131.436042238913 32.8253675087669, 131.436042238913 32.8256370033522, 131.435233755157 32.8256370033522, 131.435233755157 32.8253675087669, 131.435772744328 32.8253675087669, 131.435772744328 32.8245590250112)))	POINT(131.436019779954 32.8250980131997)	0.0090552767664192	9055.2767664192	0.82243815459059921	0.1682307872171192	2.4380761237571673	11	31	46	169.42574082714353	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.0090552847798068617	0.0090552847798068617	1.0	slope_ndvi_threshold_v1	0.55	20	screening
10	4fa8ebc2b9cb239d395b9898a757756d	MULTIPOLYGON(((131.439276173936 32.8175521657951, 131.439006679351 32.8175521657951, 131.439006679351 32.8178216603803, 131.438737184765 32.8178216603803, 131.438737184765 32.8175521657951, 131.438198195595 32.8175521657951, 131.438198195595 32.8178216603803, 131.43846769018 32.8178216603803, 131.43846769018 32.8180911549656, 131.438737184765 32.8180911549656, 131.438737184765 32.8183606495508, 131.43846769018 32.8183606495508, 131.43846769018 32.818630144136, 131.438198195595 32.818630144136, 131.438198195595 32.8180911549656, 131.437659206425 32.8180911549656, 131.437659206425 32.8175521657951, 131.43792870101 32.8175521657951, 131.43792870101 32.8172826712098, 131.439276173936 32.8172826712098, 131.439276173936 32.8175521657951)), ((131.439815163106 32.8170131766246, 131.439815163106 32.8167436820394, 131.440623646862 32.8167436820394, 131.440623646862 32.8170131766246, 131.440354152277 32.8170131766246, 131.440354152277 32.8172826712098, 131.440084657692 32.8172826712098, 131.440084657692 32.8170131766246, 131.439815163106 32.8170131766246)), ((131.439545668521 32.8175521657951, 131.439545668521 32.8170131766246, 131.439815163106 32.8170131766246, 131.439815163106 32.8175521657951, 131.440084657692 32.8175521657951, 131.440084657692 32.8178216603803, 131.440354152277 32.8178216603803, 131.440354152277 32.8180911549656, 131.440084657692 32.8180911549656, 131.440084657692 32.8183606495508, 131.439276173936 32.8183606495508, 131.439276173936 32.8180911549656, 131.439545668521 32.8180911549656, 131.439545668521 32.8178216603803, 131.439276173936 32.8178216603803, 131.439276173936 32.8175521657951, 131.439545668521 32.8175521657951)))	POINT(131.439150722616 32.8176869143219)	0.02188539673807265	21885.39673807265	1.5850108128851659	0.10947128441657653	3.0223857514698018	4	22	42	201.16086001581769	1	デイサイト・流紋岩 溶岩・火砕岩	dacite & rhyolite lava & pyroclastic rocks	0.0218854161059305	0.0218854161059305	1.0	slope_ndvi_threshold_v1	0.55	20	screening
