行	geo	aoi_name	area_km2	area_m2	candidate_value	confidence	data_sources	interpretation	mean_ndvi_source	mean_slope_source	method	min_connected_pixels	ndvi_threshold_max	risk_type	s2_end	s2_start	slope_threshold_min_deg	system:index
1	POLYGON((131.353307401244 32.5397032484171, 131.353576895829 32.5397032484172, 131.353576895829 32.5399727430024, 131.353846390415 32.5399727430024, 131.353846390415 32.5405117321729, 131.353576895829 32.5405117321729, 131.353576895829 32.5410507213433, 131.354115885 32.5410507213433, 131.354115885 32.5418592050991, 131.353846390415 32.541859205099, 131.353846390415 32.5415897105138, 131.353307401244 32.5415897105138, 131.353307401244 32.5413202159286, 131.353037906659 32.5413202159286, 131.353037906659 32.5399727430024, 131.353307401244 32.5399727430024, 131.353307401244 32.5397032484171), (131.353307401244 32.5402422375876, 131.353307401244 32.5405117321729, 131.353576895829 32.5405117321729, 131.353576895829 32.5402422375876, 131.353307401244 32.5402422375876))	kitagawa_first_pass_rectangle	0.013626220132660249	13626.220132660248	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.4091669972725302	25.632454130384659	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1311+1707
2	POLYGON((131.353307401244 32.8135097470168, 131.354385379585 32.8135097470168, 131.354385379585 32.8140487361873, 131.353846390415 32.8140487361873, 131.353846390415 32.8145877253577, 131.353576895829 32.8145877253577, 131.353576895829 32.8140487361873, 131.353307401244 32.8140487361873, 131.353307401244 32.8135097470168))	kitagawa_first_pass_rectangle	0.0075470090246677422	7547.0090246677419	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.49521936367948649	40.335393524169923	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1314+691
3	POLYGON((131.364626173824 32.5432066780252, 131.36543465758 32.5432066780252, 131.36543465758 32.5434761726105, 131.366243141336 32.5434761726105, 131.366243141336 32.5437456671957, 131.364895668409 32.5437456671957, 131.364895668409 32.5440151617809, 131.364626173824 32.5440151617809, 131.364626173824 32.5437456671957, 131.364356679239 32.5437456671957, 131.364356679239 32.5434761726105, 131.364626173824 32.5434761726105, 131.364626173824 32.5432066780252))	kitagawa_first_pass_rectangle	0.0083268906372693224	8326.8906372693218	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.40270171330041737	23.669648603959516	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1355+1694
4	POLYGON((131.368938087188 32.7943756314651, 131.369477076358 32.7943756314651, 131.369477076358 32.7949146206355, 131.369746570944 32.7949146206355, 131.369746570944 32.7951841152207, 131.369207581773 32.7951841152207, 131.369207581773 32.7949146206355, 131.368938087188 32.7949146206355, 131.368938087188 32.7943756314651))	kitagawa_first_pass_rectangle	0.0045291832267501612	4529.1832267501613	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.47643584196166011	28.284425099690754	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1370+762
5	MULTIPOLYGON(((131.373250000553 32.8391117326139, 131.373519495138 32.8391117326139, 131.373519495138 32.8393812271992, 131.373250000553 32.8393812271992, 131.373250000553 32.8391117326139)), ((131.373250000553 32.8391117326139, 131.372980505968 32.839111732614, 131.372980505968 32.8393812271992, 131.372711011383 32.8393812271992, 131.372711011383 32.8391117326139, 131.371902527627 32.8391117326139, 131.371902527627 32.8388422380287, 131.373250000553 32.8388422380287, 131.373250000553 32.8391117326139)))	kitagawa_first_pass_rectangle	0.0052814017099874011	5281.4017099874009	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.51442640202960466	25.431864329746791	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1384+597
6	POLYGON((131.374058484307 32.8684866424049, 131.374327978893 32.8684866424049, 131.374327978893 32.8687561369901, 131.374597473478 32.8687561369901, 131.374597473478 32.8692951261606, 131.374866968063 32.8692951261606, 131.374866968063 32.8698341153311, 131.374327978893 32.8698341153311, 131.374327978893 32.8695646207458, 131.374058484307 32.8695646207459, 131.374058484307 32.8684866424049))	kitagawa_first_pass_rectangle	0.0075423121831158669	7542.3121831158669	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.45519656758535731	30.625564002990721	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1388+487
7	MULTIPOLYGON(((131.378639892258 32.4793364613241, 131.378909386843 32.4793364613241, 131.378909386843 32.4796059559093, 131.378639892258 32.4796059559093, 131.378639892258 32.4793364613241)), ((131.379717870599 32.4798754504946, 131.379987365184 32.4798754504946, 131.379987365184 32.4801449450798, 131.379717870599 32.4801449450798, 131.379717870599 32.4798754504946)), ((131.379178881428 32.4796059559093, 131.379178881428 32.4798754504946, 131.379448376014 32.4798754504946, 131.379448376014 32.4801449450798, 131.379717870599 32.4801449450798, 131.379717870599 32.4806839342503, 131.379448376014 32.4806839342503, 131.379448376014 32.480414439665, 131.379178881428 32.480414439665, 131.379178881428 32.4801449450798, 131.378909386843 32.4801449450798, 131.378909386843 32.4796059559093, 131.379178881428 32.4796059559093)))	kitagawa_first_pass_rectangle	0.006060193896286226	6060.1938962862259	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.382561045247788	32.216688394546509	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1405+1931
8	MULTIPOLYGON(((131.397504513224 32.7571853787022, 131.396965524054 32.7571853787022, 131.396965524054 32.7574548732875, 131.396696029469 32.7574548732875, 131.396696029469 32.756915884117, 131.397504513224 32.756915884117, 131.397504513224 32.7571853787022)), ((131.397504513224 32.7571853787022, 131.39777400781 32.7571853787022, 131.39777400781 32.7574548732875, 131.398043502395 32.7574548732875, 131.398043502395 32.7571853787022, 131.39831299698 32.7571853787022, 131.39831299698 32.7577243678727, 131.398043502395 32.7577243678727, 131.398043502395 32.757993862458, 131.397504513224 32.757993862458, 131.397504513224 32.7582633570432, 131.39777400781 32.7582633570432, 131.39777400781 32.7585328516284, 131.397504513224 32.7585328516284, 131.397504513224 32.7588023462137, 131.396965524054 32.7588023462137, 131.396965524054 32.7585328516284, 131.397235018639 32.7585328516284, 131.397235018639 32.757993862458, 131.396965524054 32.757993862458, 131.396965524054 32.7577243678727, 131.397235018639 32.7577243678727, 131.397235018639 32.7574548732875, 131.397504513224 32.7574548732875, 131.397504513224 32.7571853787022)))	kitagawa_first_pass_rectangle	0.014348382845504522	14348.382845504522	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.51502432331931136	36.259971819425886	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1474+901
9	POLYGON((131.402894404928 32.4580463890907, 131.403433394098 32.4580463890907, 131.403433394098 32.4583158836759, 131.403163899513 32.4583158836759, 131.403163899513 32.4585853782612, 131.403433394098 32.4585853782612, 131.403433394098 32.4588548728464, 131.402894404928 32.4588548728464, 131.402894404928 32.4580463890907))	kitagawa_first_pass_rectangle	0.0037885296057834426	3788.5296057834425	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.40625155621463926	27.528763198852538	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1496+2010
10	MULTIPOLYGON(((131.405319856196 32.6157007214534, 131.405050361611 32.6157007214534, 131.405050361611 32.6154312268682, 131.405319856196 32.6154312268682, 131.405319856196 32.615161732283, 131.405858845367 32.615161732283, 131.405858845367 32.6154312268682, 131.406128339952 32.6154312268682, 131.406128339952 32.6157007214534, 131.405589350781 32.6157007214534, 131.405589350781 32.6159702160387, 131.405319856196 32.6159702160387, 131.405319856196 32.6157007214534)), ((131.405050361611 32.6159702160387, 131.405319856196 32.6159702160387, 131.405319856196 32.6162397106239, 131.405050361611 32.6162397106239, 131.405050361611 32.6167786997944, 131.404780867026 32.6167786997944, 131.404780867026 32.6170481943796, 131.40397238327 32.6170481943796, 131.40397238327 32.6167786997944, 131.404241877855 32.6167786997944, 131.404241877855 32.6162397106239, 131.40451137244 32.6162397106239, 131.40451137244 32.6157007214534, 131.405050361611 32.6157007214534, 131.405050361611 32.6159702160387)))	kitagawa_first_pass_rectangle	0.015883916201932004	15883.916201932005	1	screening	ALOS_AW3D30_V4_1; COPERNICUS_S2_SR_HARMONIZED	steep slope with reduced vegetation cover	0.49215477422336884	30.283763976324174	slope_ndvi_threshold_v1	5	0.55	slope_disaster_screening	2026-05-01	2025-10-01	20	+1505+1427
